Year,Month,WDCGG CO2 (ppm),WDCGG CO2 uncertainty
1984,1,345.27,
1984,2,345.69,
1984,3,345.89,
1984,4,345.95,
1984,5,345.47,
1984,6,344.25,
1984,7,342.59,
1984,8,341.63,
1984,9,342.12,
1984,10,343.60,
1984,11,345.12,
1984,12,346.10,
1985,1,346.69,
1985,2,347.04,
1985,3,347.29,
1985,4,347.30,
1985,5,346.87,
1985,6,345.66,
1985,7,344.01,
1985,8,343.01,
1985,9,343.47,
1985,10,345.00,
1985,11,346.52,
1985,12,347.48,
1986,1,348.08,
1986,2,348.48,
1986,3,348.68,
1986,4,348.71,
1986,5,348.29,
1986,6,347.12,
1986,7,345.45,
1986,8,344.48,
1986,9,344.96,
1986,10,346.51,
1986,11,347.98,
1986,12,348.86,
1987,1,349.47,
1987,2,349.88,
1987,3,350.15,
1987,4,350.32,
1987,5,350.02,
1987,6,348.99,
1987,7,347.40,
1987,8,346.48,
1987,9,346.99,
1987,10,348.55,
1987,11,350.07,
1987,12,351.16,
1988,1,351.83,
1988,2,352.26,
1988,3,352.52,
1988,4,352.69,
1988,5,352.31,
1988,6,351.19,
1988,7,349.64,
1988,8,348.76,
1988,9,349.30,
1988,10,350.87,
1988,11,352.28,
1988,12,353.26,
1989,1,353.93,
1989,2,354.30,
1989,3,354.48,
1989,4,354.51,
1989,5,354.04,
1989,6,352.83,
1989,7,351.24,
1989,8,350.29,
1989,9,350.78,
1989,10,352.23,
1989,11,353.70,
1989,12,354.61,
1990,1,355.15,
1990,2,355.48,
1990,3,355.68,
1990,4,355.68,
1990,5,355.23,
1990,6,354.00,
1990,7,352.36,
1990,8,351.41,
1990,9,351.93,
1990,10,353.48,
1990,11,354.95,
1990,12,355.90,
1991,1,356.48,
1991,2,356.92,
1991,3,357.13,
1991,4,357.10,
1991,5,356.69,
1991,6,355.47,
1991,7,353.72,
1991,8,352.66,
1991,9,353.09,
1991,10,354.58,
1991,11,356.00,
1991,12,356.83,
1992,1,357.36,
1992,2,357.65,
